IndicatorID,IndicatorName,Age,Sex,TimePeriod,TimePeriodSortable,PeriodStart,PeriodEnd,PeriodMidYear,Value,LowerCI95,UpperCI95,Count,Denominator,ValueNote,RecentTrend,RateScale,RateUnit,IsLatestPeriod
92705,Neonatal mortality rate,<28 days,Persons,2016 - 18,20160000,2016,2018,2017.0,2.82961,2.75517,2.90556,5477.0,1935600.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2017 - 19,20170000,2017,2019,2018.0,2.85775,2.7819,2.93515,5381.0,1882950.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2018 - 20,20180000,2018,2020,2019.0,2.82977,2.75303,2.9081,5154.0,1821351.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2019 - 21,20190000,2019,2021,2020.0,2.84096,2.76344,2.9201,5090.0,1791648.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2020 - 22,20200000,2020,2022,2021.0,2.86488,2.7863,2.94511,5037.0,1758189.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2021 - 23,20210000,2021,2023,2022.0,2.97198,2.89144,3.05419,5161.0,1736555.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2022 - 24,20220000,2022,2024,2023.0,3.06500850253027,2.98254472540386,3.1491744296419,5236.0,1708315.0,,Cannot be calculated,1000.0,"per 1,000",True
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2001 - 03,20010000,2001,2003,2002.0,1.74838,1.68643,1.81202,3006.0,1719304.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2002 - 04,20020000,2002,2004,2003.0,1.65878,1.59919,1.72001,2924.0,1762744.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2003 - 05,20030000,2003,2005,2004.0,1.61486,1.55684,1.67449,2923.0,1810063.0,,,1000.0,"per 1,000",False
